ANNO,PROVINCIA,GENERE,COORDINATA X,COORDINATA Y,SPERANZA DI VITA ALLA NASCITA,TASSO MORTALITA' PER 1.000 ABITANTI,TASSO MORTALITA INFANTILE PER RESIDENZA PER 1.000 NATI VIVI,POSIZIONE
2016,MANTOVA,ALL,10.77086348,45.14135331,83.1,10.58538204531193,,"(45.14135331, 10.77086348)"
2014,LODI,M,9.510140481,45.31535435,80.3,9.465483624369757,2,"(45.31535435, 9.510140481)"
2012,SONDRIO,ALL,9.879429303,46.1707552,81.6,10.081051878176236,0.63,"(46.1707552, 9.879429303)"
2012,SONDRIO,M,9.879429303,46.1707552,78.7,10.202482532031365,1.31,"(46.1707552, 9.879429303)"
2015,ITALIA,ALL,,,82.3,10.663013328795477,2.9,
2016,ITALIA,M,,,80.6,10.247665330391671,,
2013,VARESE,F,8.80650544,45.80041256,85.2,9.341181824015681,1.24,"(45.80041256, 8.80650544)"
2014,COMO,ALL,9.039360974,45.80216962,83.3,8.972941858573556,2.99,"(45.80216962, 9.039360974)"
2016,CREMONA,F,10.0131151,45.13644491,84.7,11.100727777305808,,"(45.13644491, 10.0131151)"
2015,VARESE,F,8.80650544,45.80041256,85.2,9.900269345563078,1.3,"(45.80041256, 8.80650544)"
2012,MONZA E DELLA BRIANZA,M,9.258430902,45.5823624,80.9,8.670253296081647,1.53,"(45.5823624, 9.258430902)"
2012,MILANO,F,9.18951,45.46427,85.2,9.622471039098583,1.88,"(45.46427, 9.18951)"
2013,LECCO,ALL,9.388156645,45.85028614,82.6,9.251530021097139,3.38,"(45.85028614, 9.388156645)"
2014,MANTOVA,ALL,10.77086348,45.14135331,82.7,10.44736201699624,2,"(45.14135331, 10.77086348)"
2013,COMO,M,9.039360974,45.80216962,80.4,9.659868859564156,1.19,"(45.80216962, 9.039360974)"
2016,REGIONE LOMBARDIA,ALL,,,83.2,9.41714436364172,,
2013,SONDRIO,ALL,9.879429303,46.1707552,81.9,9.598961441879526,2.01,"(46.1707552, 9.879429303)"
2015,REGIONE LOMBARDIA,M,,,80.6,10.343845231472704,2.33,
2012,MILANO,ALL,9.18951,45.46427,82.7,9.71634847801973,1.83,"(45.46427, 9.18951)"
2016,BERGAMO,F,9.63853045,45.68012929,85.3,8.49889303192729,,"(45.68012929, 9.63853045)"
2015,LODI,M,9.510140481,45.31535435,79.6,10.427036490336754,2.01,"(45.31535435, 9.510140481)"
2012,COMO,ALL,9.039360974,45.80216962,82.8,9.283481118868073,3.43,"(45.80216962, 9.039360974)"
2013,MONZA E DELLA BRIANZA,F,9.258430902,45.5823624,85.6,8.102514000843216,1.51,"(45.5823624, 9.258430902)"
2016,MILANO,M,9.18951,45.46427,81.5,9.330567648725896,,"(45.46427, 9.18951)"
2016,BRESCIA,M,10.18167955,45.51939749,80.8,8.906388651054517,,"(45.51939749, 10.18167955)"
2012,LECCO,M,9.388156645,45.85028614,80.8,9.354226573687091,1.95,"(45.85028614, 9.388156645)"
2014,MONZA E DELLA BRIANZA,M,9.258430902,45.5823624,81.4,8.62198901852345,2.44,"(45.5823624, 9.258430902)"
2012,ITALIA,F,,,84.4,10.24902789486484,3.15,
2015,BERGAMO,F,9.63853045,45.68012929,84.5,8.669548620443043,3.27,"(45.68012929, 9.63853045)"
2015,PAVIA,F,9.14034225,45.18407925,84.2,12.337477104164789,2.29,"(45.18407925, 9.14034225)"
